Project Title,Category,ROLE,BUDGET,TECHNOLOGY,DESIGN PARTNER,DESIGNER domain,DOMAIN,Description 
SMMA Architecture,WEB & iOS APPS,"Technical Lead, Developer","$100,000 - $250,000",WordPress,TOKY,https://toky.com/,https://smma.com/,Description goes here
Sparx Hockey,E-Commerce,"Technical Lead, Developer","$25,000 - $50,000",Shopify,,,https://sparxhockey.com/,Description goes here
"Studio Arts Consortium International (SACI), Florence",INFORMATIONAL,"Technical Lead, Developer","$25,000 - $50,000",Drupal 7,,,https://saci-florence.edu/,Description goes here
The ADA Forsyth Institute,HIGHER EDUCATION,"Technical Lead, Developer","$25,000 - $50,000",Drupal 7,,,https://forsyth.org/,Description goes here
The Isabella Stewart Gardner Museum,INFORMATIONAL,"Technical Lead, Developer","$50,000 - $100,000",Drupal 10,Fabrique,https://www.fabrique.com/,https://www.gardnermuseum.org/,Description goes here
Thing Y,MUSIC & ART,"Concept, Design, Developer","< $10,000","Rhino 3D, Laser cutting",,,,Description goes here
Trillium Brewing,E-Commerce,"Technical Lead, Developer","$25,000 - $50,000",Shopify, ,,https://www.trilliumbrewing.com/,Description goes here
"University of Massachusetts Amherst, Humanities and Fine Arts",HIGHER EDUCATION,"Technical Lead, Developer","$50,000 - $100,000",Drupal 7,,,https://www.umass.edu/uww/programs/pre-college,Description goes here
Vases,MUSIC & ART,"Concept, Design, Developer","< $10,000",Traditional tools, ,,,Description goes here
Way Finders,INFORMATIONAL,"Technical Lead, Developer","$50,000 - $100,000",Drupal 7,,,https://www.wayfinders.org/,Description goes here
Choosroozy,MUSIC & ART,"Concept, Design, Developer","< $10,000",JavaScript,,,https://editor.p5js.org/knectar/full/fIJ2pBpyz,Description goes here
Dog Door ,MUSIC & ART,"Concept, Design, Developer","< $10,000","CNC, Traditional tools",,,,Description goes here
Call and response app ,WEB & iOS APPS,"Concept, Design, Developer","< $10,000","Cursor, Javascript",,,,Description goes here
Strudelizer,WEB & iOS APPS,"Concept, Design, Developer","< $10,000","Cursor, Javascript",,,https://midi-strudel-dash.vercel.app/,Description goes here
Strudel Bach,WEB & iOS APPS,"Concept, Design, Developer","< $10,000",Strudel,,,,Description goes here
